title,video_id,published_at,channel_title
"Trump fires back at press over DEI, DC plane crash: &#39;Not a very smart question&#39;",reUBMHxxrgE,2025-01-30T17:30:07Z,Fox
Trump briefs press on DC plane crash: ‘Confluence of bad decisions’,GOvPKyeR7tg,2025-01-30T16:59:12Z,Fox
They created their own story about racism: Judge Jeanine,nSxPFnol5Dw,2025-01-30T10:00:56Z,Fox
Trump signs executive order banning transgender service members,n6SdsPBG9X4,2025-01-28T13:45:04Z,Fox
Sen. Josh Hawley: Elites use DEI to stay in power,NPe4aKIXm0w,2025-01-28T09:00:18Z,Fox
Laura: Democrats ought to be very careful here,CS1AH9rv5wk,2025-01-28T01:30:08Z,Fox
Secretary of Defense Pete Hegseth vows to protect America on first day in office,IdtQVfB7DRU,2025-01-27T19:48:26Z,Fox
Trump fires 17 IGs in first week as Dems fume,EADTMUYw4BA,2025-01-27T18:30:17Z,Fox
Trump makes Colombia BACK DOWN over illegal immigrants! | Will Cain Show,pHEwp0OAkKk,2025-01-27T18:25:50Z,Fox
JD Vance gives &#39;masterclass&#39; interview FIERCELY defending immigration policies,iWO9JMjifgM,2025-01-27T12:15:07Z,Fox
"Trump bringing US out of the ‘cultural dark age,’ comedian says",m7IF_n5n_YU,2025-01-26T09:00:58Z,Fox
FL man arrested for threats against Trump,_iYs58lp6U4,2025-01-25T22:00:26Z,Fox
Gutfeld: Trump is filling the space of all politics,D6MJBrfZs0o,2025-01-25T14:30:08Z,Fox
Trump sends DEI to DIE,AiDKsmajdQU,2025-01-25T11:30:10Z,Fox
"Trump won&#39;t &#39;waste 1 minute,&#39; Kevin McCarthy says",QTPKFt_bdyc,2025-01-23T22:00:30Z,Fox
Judge Jeanine Pirro reacts to how much the Biden administration spent on DEI,3BKsN9P76Fk,2025-01-23T20:53:38Z,Fox
Liberal Democrat targets Trump&#39;s DEI order: &#39;Incredibly alarming&#39;,sJtXSp12qrY,2025-01-23T16:30:23Z,Fox
‘INSPIRING’: Trump praised for ‘killing’ DEI in America,4u1-_f-VV00,2025-01-23T15:45:00Z,Fox
Jesse Watters: DEI was ‘taxpayer-funded hate’,01nSKEB-kAg,2025-01-23T09:30:00Z,Fox
RIP: DEI falls to MAGA,G-NIKPBnhXU,2025-01-23T09:00:24Z,Fox
Dave Rubin: Nobody in this ‘renewed America’ cares about DEI ‘stuff’,zzdwU6tBp0k,2025-01-23T08:00:50Z,Fox
Laura Ingraham: Is DEI really DOA?,OGsIne7JeYo,2025-01-23T07:30:09Z,Fox
We’re getting back to ‘equality under the law’: WSJ columnist,Z-OMZa93lqI,2025-01-23T07:00:28Z,Fox
Why &#39;The Five&#39;s&#39; Greg Gutfeld finds the existence of sanctuary cities &#39;hilarious&#39;,jo6WeHBqrMI,2025-01-23T06:00:36Z,Fox
"Greg Gutfeld: When in doubt, Dems play the Hitler card",QiZD0-6DiV8,2025-01-23T05:00:30Z,Fox
Judge Jeanine reacts to woke bishop: Where&#39;s the separation of church and state?,DJfke_54KeM,2025-01-23T00:45:00Z,Fox
