comment,likes,published_at
"The communists have destroyed every establishment built by righteous people. Educational institutions can abandon education and get into politics, no problem. But then they won’t be competing with professors, but politicians. 
Interestingly the students enjoyed politics during protests, but are unhappy when the politics has entered the university.",0,2025-04-16T10:27:43Z
"That used to be an institution of prestige and honour. 
Now Harvard is a total embarrassment.",1,2025-04-16T10:26:44Z
Funny how Harvard is holding Trump to his own values.,0,2025-04-16T10:26:28Z
US becoming what China was 50 years ago lol,0,2025-04-16T10:14:35Z
"Harvard has earned my respect, its time for more universities and educational institutions to team up and fight back.",0,2025-04-16T10:14:18Z
Trump wants go down in history as the first American dictator.,0,2025-04-16T10:07:39Z
Most of the US voters wanted exactly this. Just as written in Project 2025. No surprise. Principiis obsta.,0,2025-04-16T10:06:52Z
The anti-intellectualism in US of all countries is just simply astounding. Bravo orange man.,0,2025-04-16T10:05:54Z
Trump is right,0,2025-04-16T10:02:47Z
Columbia = Trump University,0,2025-04-16T09:59:20Z
"Go woke, go broke.",0,2025-04-16T09:59:02Z
"What is with this guy and apologizing?😅 Zelensky has to apologize, Harvard has to apologize...",9,2025-04-16T09:53:45Z
"Never bite the hand that fingers you, something like that.",0,2025-04-16T09:52:54Z
Why did not interview Republican students,0,2025-04-16T09:52:51Z
"Hate has no conversation. No conversation should come in the matter of hate. It will soon escalate into violence and when this violence is done from educated people, it is given an intellectual view which is wrong.",0,2025-04-16T09:48:59Z
This is just a distraction from the economy situation and the embarrassing reversal of policy. This could have happened at any time.,0,2025-04-16T09:48:38Z
Student encampments and vandalism is more important than research and studies for Harvard,1,2025-04-16T09:48:14Z
"They have 50 billion a year to keep them doing just fine, 2 billion is nothing to them",18,2025-04-16T09:41:33Z
Sounds like we can use that 2 billion dollars for public education instead of for Harvard and the elites,6,2025-04-16T09:39:49Z
trump is a liability...,0,2025-04-16T09:27:10Z
government overreach what republicans are all about now a days ! how times change!...,1,2025-04-16T09:26:02Z
this is overt fachism btw,0,2025-04-16T09:24:49Z
This lady is saying that one of the trump’s demand is merit based admission process?? How is that a problem for sure ?,0,2025-04-16T09:22:34Z
Can't imagine what else this dictator would do next!,0,2025-04-16T09:11:21Z
The American president is very powerful. Just look at the disruption all over the world. Everyone is feeling the heat.,0,2025-04-16T09:09:02Z
"are we sure ""those"" people are not in control ? hmmmm",0,2025-04-16T09:03:46Z
"This whole litany of bullying that Trump is doing, If it is not dictatorship, I don't know what dictatorship is. I don't know why everyone is being polite and not calling it out for what it is. It is a dictator who is slightly inconvenienced by our democratic system and is trying to dismantle it to get to a full autocratic system.",0,2025-04-16T09:00:48Z
1:50 such an annoying grammaaaaaar,0,2025-04-16T08:59:50Z
Harvard lawyers getting warmed up,0,2025-04-16T08:58:51Z
